              wavelength     intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle                                     latex_label                              group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave     peak_flux       cont  cont_err    m_cont      n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line           amp       center     sigma  gamma  frac  alpha   a   b   c     amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i     FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99      chisqr     redchi         aic         bic observations comments
N2_5755A          5755.0     19.479054       4.170650     20.118990          3.931038     1.088317   0.215609       N2                         $[NII]5755\mathring{A}$                                     none         no  5700.000000  5720.000000  5745.000000  5765.000000  5800.000000  5820.000000          NaN          NaN  6028.371582     21.825443  18.486339  0.605122  0.007406  -26.159794    0.002133   12.882121     7.927058  30.549762  0.047454      3.657098  6028.096250  2.204176    NaN   NaN    NaN NaN NaN NaN    0.480008    0.329766   0.324513        NaN       NaN        NaN    NaN    NaN    NaN  -13.692339  16.399354  109.614243      16.138124       2.436390          NaN      16.0  69.012061         NaN   5.190438          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   30.416972   0.675933  -15.897613  -10.284010           no       no
He1_5876A         5876.0    926.347732       8.796082    904.892091         19.320375    50.821090   1.880156      He1                           $HeI5876\mathring{A}$                                     none         no  5845.715833  5865.712378  5868.708118  5887.534116  5888.378245  5901.854752          NaN          NaN  6154.603516    200.226379  17.805445  0.537951 -0.010321   81.325222    0.005087   31.273301   219.616276  33.098662  0.047469    182.199307  6154.928668  1.978978    NaN   NaN    NaN NaN NaN NaN    3.326753    0.026671   0.022988        NaN       NaN        NaN    NaN    NaN    NaN   15.838287   1.299137   96.396553       1.119770       4.557702          NaN      15.0  69.028879         NaN   4.660136          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   92.586054   2.374001   39.199694   44.412703           no       no
O1_6300A          6300.0    190.073706       3.787317    184.681969          5.804802    11.770542   0.500523       O1                          $[OI]6300\mathring{A}$                                     none         no  6282.963147  6293.637954  6295.979407  6310.262792  6324.703137  6333.806833          NaN          NaN  6599.332031     52.332474  15.690184  0.449383  0.002565   -1.239856    0.005715   37.761774    67.150070  34.914952  0.047589     38.473724  6599.812945  1.917920    NaN   NaN    NaN NaN NaN NaN    0.916243    0.042863   0.039602        NaN       NaN        NaN    NaN    NaN    NaN   21.846803   1.947183   87.126685       1.799017       2.279635          NaN      10.0  69.041131         NaN   4.516356          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   27.218948   1.183433    7.191238   10.965527           no       no
S3_6312A          6312.0    128.918184       3.351205    125.437983          3.725111     7.947358   0.285077       S3                        $[SIII]6312\mathring{A}$                                     none         no  6280.559495  6295.351299  6308.495178  6322.627185  6325.107331  6337.383514          NaN          NaN  6611.501465     39.805359  15.783608  0.317562  0.004431  -13.514766    0.003263   21.554558    51.469724  49.702409  0.047545     24.775903  6612.103987  2.019219    NaN   NaN    NaN NaN NaN NaN    0.523241    0.042312   0.040060        NaN       NaN        NaN    NaN    NaN    NaN   27.320820   1.918592   91.559638       1.816478       1.610217          NaN      11.0  69.039019         NaN   4.754898          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   16.777038   0.599180  -13.033257   -8.731295           no       no
H1_6563A          6563.0  24903.358484     146.565880  21015.201771        695.024625  1290.244356  74.625764       H1                            $HI6563\mathring{A}$  H1_6563A+H1_6563A_k-1+N2_6584A+N2_6548A         no  6480.030000  6520.660000  6534.323049  6598.701232  6627.700000  6661.820000  6835.240077  6910.659209  6875.433105   4283.961426  16.287769  0.772854  0.009721  -50.550452    0.001389    9.543091  2154.122443  21.074824  0.047489   4214.168701  6874.672974  1.988340    NaN   NaN    NaN NaN NaN NaN  122.467763    0.027516   0.025976        NaN       NaN        NaN    NaN    NaN    NaN  138.787526   1.200467   86.748172       1.133302       9.082224          NaN      44.0  69.035957  207.222748   4.682183  3288.532750    0.000000  -61.401811 -712.553838 -250.260123 -194.915722   93.434993  420.016845  953.104654  984.368492  11.446145  240.121725  263.106617           no       no
H1_6563A_k-1      6563.0  24903.358484     146.565880   2015.561352        251.670788   123.746928  16.529591       H1                        $HI6563\mathring{A}-k_1$  H1_6563A+H1_6563A_k-1+N2_6584A+N2_6548A         no  6480.030000  6520.660000  6534.323049  6598.701232  6627.700000  6661.820000  6835.240077  6910.659209  6875.433105   4283.961426  16.287769  0.772854  0.009721  -50.550452    0.001389    9.543091    77.131439  21.074824  0.047549    150.894345  6875.065373  5.334949    NaN   NaN    NaN NaN NaN NaN   17.761151    0.134438   0.211065        NaN       NaN        NaN    NaN    NaN    NaN  155.907259   5.865310  232.755493       9.208424       9.082224          NaN      44.0  69.035957  207.222748  12.562845  3288.532750    0.000000  -61.401811 -712.553838 -250.260123 -194.915722   93.434993  420.016845  953.104654  984.368492  11.446145  240.121725  263.106617           no       no
N2_6584A          6584.0  24903.358484     146.565880   1092.813549         40.195143    67.094122   4.028089       N2                         $[NII]6584\mathring{A}$  H1_6563A+H1_6563A_k-1+N2_6584A+N2_6548A         no  6480.030000  6520.660000  6534.323049  6598.701232  6627.700000  6661.820000  6835.240077  6910.659209  6875.433105   4283.961426  16.287769  0.772854  0.009721  -50.550452    0.001389    9.543091   107.799861  21.074824  0.047461    210.891818  6896.483785  2.068981    NaN   NaN    NaN NaN NaN NaN    6.620796    0.047651   0.041470        NaN       NaN        NaN    NaN    NaN    NaN  130.678224   2.072320   89.978519       1.803498       2.436390          NaN      44.0  69.035957  207.222748   4.872079  3288.532750    0.000000  -61.401811 -712.553838 -250.260123 -194.915722   93.434993  420.016845  953.104654  984.368492  11.446145  240.121725  263.106617           no       no
N2_6548A          6548.0  24903.358484     146.565880    370.111481         13.915925    22.723277   1.375689       N2                         $[NII]6548\mathring{A}$  H1_6563A+H1_6563A_k-1+N2_6584A+N2_6548A         no  6480.030000  6520.660000  6534.323049  6598.701232  6627.700000  6661.820000  6835.240077  6910.659209  6875.433105   4283.961426  16.287769  0.772854  0.009721  -50.550452    0.001389    9.543091    36.666619  21.074824  0.047453     71.731911  6858.724295  2.057653    NaN   NaN    NaN NaN NaN NaN    2.251971    0.047390   0.041243        NaN       NaN        NaN    NaN    NaN    NaN  128.452842   2.072305   89.977852       1.803484       2.436390          NaN      44.0  69.035957  207.222748   4.845403  3288.532750    0.000000  -61.401811 -712.553838 -250.260123 -194.915722   93.434993  420.016845  953.104654  984.368492  11.446145  240.121725  263.106617           no       no
He1_6678A         6678.0    263.098368       4.587525    257.860249          6.070357    16.698742   0.678116      He1                           $HeI6678\mathring{A}$                                     none         no  6659.110795  6670.102081  6670.734647  6688.067396  6692.049622  6704.859648          NaN          NaN  6995.197754     65.853134  15.441897  0.510957 -0.029249  220.043786    0.007416   51.911633    99.210166  30.221499  0.047561     50.355953  6995.611771  2.043420    NaN   NaN    NaN NaN NaN NaN    0.913611    0.032967   0.029876        NaN       NaN        NaN    NaN    NaN    NaN   17.743507   1.412860   87.574645       1.280409       4.557702          NaN      12.0  69.026082         NaN   4.811887          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   25.082020   0.964693    1.790808    5.892695           no       no
S2_6716A          6716.0    721.828932       7.030503    709.248042         13.914522    46.806605   1.596566       S2                         $[SII]6716\mathring{A}$                                     none         no  6691.653984  6707.217777  6707.458647  6725.466528  6743.598874  6756.277910          NaN          NaN  7035.582520    162.972687  15.152734  0.422810  0.007060  -34.517450    0.003731   26.261943   199.442944  35.838197  0.047596    144.381054  7035.657245  1.957139    NaN   NaN    NaN NaN NaN NaN    2.385753    0.023375   0.020203        NaN       NaN        NaN    NaN    NaN    NaN    3.184112   0.996047   83.395456       0.860866       1.610217          NaN      12.0  69.010051         NaN   4.608711          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   51.998000   1.793034   21.535020   25.932227           no       no
S2_6731A          6731.0    627.640742       6.905315    608.064065         17.548537    40.008210   1.746957       S2                         $[SII]6731\mathring{A}$                                     none         no  6686.785257  6706.310255  6725.458647  6741.466528  6744.438091  6759.956250          NaN          NaN  7050.178223    132.608765  15.198482  0.498025  0.002024    0.930270    0.003570   25.127601   167.783413  30.517491  0.047501    120.067739  7050.728138  2.020000    NaN   NaN    NaN NaN NaN NaN    2.864202    0.037106   0.031864        NaN       NaN        NaN    NaN    NaN    NaN   23.383862   1.577860   85.895812       1.354954       1.610217          NaN      12.0  69.027624         NaN   4.756737          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  106.204967   3.123675   45.014760   49.847513           no       no
He1_7065A         7065.0    328.749908       5.490472    319.769392          8.612402    22.990056   1.208227      He1                           $HeI7065\mathring{A}$                                     none         no  7029.100000  7041.640000  7055.220000  7079.440000  7087.490000  7104.450000          NaN          NaN  7401.161621     75.336403  13.909030  0.627691 -0.008827   79.241443    0.004467   33.091925   135.671738  22.159041  0.047564     60.769765  7401.038265  2.098357    NaN   NaN    NaN NaN NaN NaN    1.253838    0.039984   0.036596        NaN       NaN        NaN    NaN    NaN    NaN   -4.996692   1.619601   84.996322       1.482359       4.557702          NaN      16.0  69.017342         NaN   4.941252          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   46.563868   1.411026   15.263014   20.013570           no       no
Ar3_7136A         7136.0    587.272540       6.415166    573.739646         13.375641    41.631637   1.782010      Ar3                       $[ArIII]7136\mathring{A}$                                     none         no  7099.804897  7122.016894  7129.546717  7145.645711  7149.984073  7166.354990          NaN          NaN  7474.807617    127.102867  13.781338  0.494729  0.005548  -27.690945    0.003903   29.146948   139.297443  27.856324  0.047494    111.131730  7474.917627  2.061492    NaN   NaN    NaN NaN NaN NaN    2.248063    0.031736   0.027497        NaN       NaN        NaN    NaN    NaN    NaN    4.412174   1.272847   82.680364       1.102821       1.443953          NaN      10.0  69.025378         NaN   4.854443          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   68.508183   2.076006   29.163633   33.914190           no       no
O2_7319A          7319.0    290.498011       5.408245    147.398516          5.724545    11.098589   0.604732       O2                         $[OII]7319\mathring{A}$                        O2_7319A+O2_7330A         no  7294.873033  7310.151519  7312.563150  7344.715475  7347.415776  7363.981240  7659.106925  7695.019060  7668.316895     39.137287  13.280833  0.507552 -0.006342   61.916991    0.004251   32.656111    70.539364  26.166428  0.047669     25.885985  7667.886491  2.273068    NaN   NaN    NaN NaN NaN NaN    0.731511    0.064466   0.062309        NaN       NaN        NaN    NaN    NaN    NaN  190.096939   2.522043   88.926804       2.437638       2.279635          NaN      20.0  69.083281  276.165344   5.352665  1403.983076  138.111298  129.524992 -250.744492 -173.416768 -128.622814  454.621701  507.866284  680.705551   35.388900   1.011111    5.965872   16.247304           no       no
O2_7330A          7330.0    290.498011       5.408245    137.407871          5.285688    10.346329   0.561020       O2                         $[OII]7330\mathring{A}$                        O2_7319A+O2_7330A         no  7294.873033  7310.151519  7312.563150  7344.715475  7347.415776  7363.981240  7659.106925  7695.019060  7668.316895     39.137287  13.280833  0.507552 -0.006342   61.916991    0.004251   32.656111    64.327869  26.166428  0.047552     23.606539  7678.557858  2.321423    NaN   NaN    NaN NaN NaN NaN    0.667281    0.065881   0.064035        NaN       NaN        NaN    NaN    NaN    NaN  156.776470   2.573519   90.682270       2.501411       2.279635          NaN      20.0  69.083281  276.165344   5.466533  1403.983076  138.111298  129.524992 -250.744492 -173.416768 -128.622814  454.621701  507.866284  680.705551   35.388900   1.011111    5.965872   16.247304           no       no
Ar3_7751A         7751.0    153.053573       4.246218    147.153421          5.712456    11.684619   0.757987      Ar3                       $[ArIII]7751\mathring{A}$                                     none         no  7731.458685  7743.423077  7744.234222  7759.848767  7759.955932  7770.429591          NaN          NaN  8118.950195     40.530823  12.593772  0.654538  0.007193  -45.806716    0.012428  100.874368    53.682353  19.240709  0.047550     28.412052  8119.562201  2.065591    NaN   NaN    NaN NaN NaN NaN    0.798228    0.056095   0.052891        NaN       NaN        NaN    NaN    NaN    NaN   22.598331   2.071301   76.272008       1.952996       1.443953          NaN      10.0  69.024077         NaN   4.864095          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   18.165159   0.956061    1.786185    5.059312           no       no
H1_8413A          8413.0     33.815242       5.341409     32.647086          6.556034     3.799629   1.068853       H1                            $HI8413\mathring{A}$                                     none         no  8397.256116  8404.619848  8406.640176  8424.233217  8424.345342  8432.968441          NaN          NaN  8812.519531     13.757463   8.592177  1.692581 -0.014400  135.492894    0.030633  269.816257     8.461860   5.076377  0.047553      5.204103  8813.066107  2.496414    NaN   NaN    NaN NaN NaN NaN    0.726474    0.373475   0.362642        NaN       NaN        NaN    NaN    NaN    NaN   18.593907  12.705223   84.925329      12.336702       9.082224          NaN      10.0  69.004971         NaN   5.878606          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   15.835006   0.931471    1.329815    4.317012           no       no
H1_8502A          8502.0     35.940102       9.272595     36.902127         14.069183     4.248603   1.811296       H1                            $HI8502\mathring{A}$                                     none         no  8478.555610  8489.714990  8496.016709  8517.137408  8525.585688  8539.465005          NaN          NaN  8908.406250     17.306786   8.685708  1.657094  0.004231  -29.007074    0.012502  111.463493    10.533050   5.241532  0.047713      9.367451  8907.651813  1.569088    NaN   NaN    NaN NaN NaN NaN    2.193660    0.382452   0.423696        NaN       NaN        NaN    NaN    NaN    NaN  -25.388903  12.870554   52.804133      14.258542       9.082224          NaN      12.0  69.026396         NaN   3.694919          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   33.010809   1.375450   11.426951   15.314461           no       no
H1_8545A          8545.0     44.623716       9.623094     46.510768         10.148462     5.640257   1.380091       H1                            $HI8545\mathring{A}$                                     none         no  8524.092831  8535.626686  8538.740274  8556.114590  8557.623562  8571.317617          NaN          NaN  8951.585938     14.885778   8.246215  0.913124 -0.025524  236.726381    0.011190  100.124777     7.198927   9.030770  0.047495      7.289597  8950.844886  2.544642    NaN   NaN    NaN NaN NaN NaN    0.971941    0.419939   0.437476        NaN       NaN        NaN    NaN    NaN    NaN  -24.818147  14.063948   85.221150      14.651275       9.082224          NaN      10.0  69.023132         NaN   5.992174          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   27.038069   1.287527    8.860608   12.394769           no       no
H1_8598A          8598.0     60.989384       9.580598     68.008812         13.512037     7.962656   1.823020       H1                            $HI8598\mathring{A}$                                     none         no  8560.895485  8573.435358  8591.336949  8613.221924  8619.868641  8629.651346          NaN          NaN  9005.336914     20.014059   8.540971  0.971660  0.013222 -110.524247    0.009306   83.741643    14.317573   8.790083  0.047524     12.169323  9006.613774  2.253658    NaN   NaN    NaN NaN NaN NaN    1.506733    0.356178   0.311544        NaN       NaN        NaN    NaN    NaN    NaN   42.507356  11.857371   75.025491      10.371460       9.082224          NaN      12.0  69.057759         NaN   5.306960          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   28.882866   1.255777    8.733952   12.508242           no       no
H1_8750A          8750.0     98.685450       8.692396    100.485878         10.347801    12.104779   1.674601       H1                            $HI8750\mathring{A}$                                     none         no  8721.088464  8737.675316  8742.460590  8764.050475  8766.749210  8772.821365          NaN          NaN  9166.423828     24.802357   8.301339  0.766881 -0.012324  121.265565    0.011694  107.055502    20.603172  10.824807  0.047573     16.652690  9166.266780  2.408846    NaN   NaN    NaN NaN NaN NaN    1.188439    0.184950   0.179910        NaN       NaN        NaN    NaN    NaN    NaN   -5.136323   6.048881   78.782523       5.884040       9.082224          NaN      12.0  69.011389         NaN   5.672400          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   25.119893   1.141813    6.119607    9.776234           no       no
#LiMe:1.0.0
#u_wave:Angstrom
#u_flux:1e-17 erg / (Angstrom s cm2)
#redshift:0.047004700470047005
#id:None
