              wavelength     intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle                                     latex_label                              group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave     peak_flux       cont  cont_err    m_cont      n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line           amp       center     sigma  gamma  frac  alpha   a   b   c     amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i     FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99      chisqr     redchi         aic         bic observations comments
H1_3889A_m        3889.0    992.735435      13.350144   1000.579978         14.874953    29.924215   1.568872       H1      $HI3889\mathring{A}$+$HeI3889\mathring{A}$                       H1_3889A+He1_3889A         no  3842.087829  3861.282614  3878.751058  3897.514918  3905.000000  3950.000000          NaN          NaN  4073.801758    332.029083  33.437134  1.681096 -0.029304  152.817066    0.005409   22.148395   209.334464  19.890085  0.047424    304.178695  4073.430909  1.312405    NaN   NaN    NaN NaN NaN NaN    3.727687    0.013258   0.011548        NaN       NaN        NaN    NaN    NaN    NaN  -27.290887   0.975627   96.580326       0.849842       9.082224          NaN      22.0  68.990089         NaN   3.090477          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   62.713924   0.681673  -33.452873  -25.791243           no       no
H1_3970A          3970.0   1709.016970      16.187639   1708.875395         48.322658    54.011298   2.433888       H1                            $HI3970\mathring{A}$                                     none         no  3945.566344  3957.862489  3961.664177  3980.048647  3980.412555  3988.598878  4149.945098  4161.911970  4158.148926    333.068481  31.639221  1.110091  0.012767  -21.447036    0.013447   55.829726   202.415555  28.501475  0.047151    335.712128  4157.188644  2.028108    NaN   NaN    NaN NaN NaN NaN    7.698069    0.037915   0.031005        NaN       NaN        NaN    NaN    NaN    NaN  -69.233979   2.733599  146.221637       2.235376       9.082224          NaN      21.0  69.033075  345.244629   4.775828   862.782469 -172.569489 -101.911593 -456.145189 -340.066614 -293.334547   75.087580  122.817182  203.624091  178.785404   4.256795   68.078568   73.498556           no       no
He1_4026A         4026.0     99.894716       6.563456    104.859807          9.898784     3.309091   0.378608      He1                           $HeI4026\mathring{A}$                                     none         no  4013.837737  4021.250734  4023.007351  4033.836363  4035.569682  4042.894433          NaN          NaN  4216.964844     59.334023  31.688407  2.048580  0.020930  -56.573945    0.045737  192.940499    22.420224  15.468474  0.047576     27.706559  4217.542135  1.511519    NaN   NaN    NaN NaN NaN NaN    1.784569    0.104192   0.101345        NaN       NaN        NaN    NaN    NaN    NaN   41.040790   7.407215  107.456901       7.204839       4.557702          NaN      13.0  69.043938         NaN   3.559355          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   36.055056   1.287681   10.682857   14.984819           no       no
S2_4069A          4069.0     62.428063       5.698670     56.582584          7.931615     1.791534   0.266428       S2                         $[SII]4069\mathring{A}$                                     none         no  4058.171690  4064.665875  4066.024635  4075.451165  4080.376366  4086.974251          NaN          NaN  4261.868652     51.145065  31.583312  1.568489 -0.035754  183.963927    0.035100  149.680250    13.840833  20.136133  0.047413     17.837060  4261.922310  1.259931    NaN   NaN    NaN NaN NaN NaN    1.820536    0.139933   0.137252        NaN       NaN        NaN    NaN    NaN    NaN    3.774442   9.843317   88.627279       9.654716       1.610217          NaN      11.0  69.041203         NaN   2.966911          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   30.894253   1.287261    9.637799   13.525310           no       no
H1_4102A          4102.0   1558.443650      14.877292   1522.680824         33.927372    49.473544   2.577970       H1                            $HI4102\mathring{A}$                                     none         no  4084.633589  4093.799103  4095.935564  4108.433334  4110.113141  4119.294537          NaN          NaN  4296.353516    487.593903  30.777678  1.449753 -0.003140   44.268221    0.025114  107.886646   211.370341  21.229597  0.047408    449.708024  4296.467513  1.352128    NaN   NaN    NaN NaN NaN NaN    8.500897    0.018066   0.015208        NaN       NaN        NaN    NaN    NaN    NaN    7.954534   1.260617   94.349265       1.061210       9.082224          NaN      14.0  69.013052         NaN   3.184018          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   72.258813   2.330929   31.632388   36.211470           no       no
H1_4340A          4340.0   2868.424350      21.556259   2773.540949         83.449665    97.026895   5.075524       H1                            $HI4340\mathring{A}$                                     none         no  4322.549217  4332.509864  4334.971354  4349.229084  4349.678528  4356.740215          NaN          NaN  4546.739258    836.484009  28.585280  1.223207  0.051603 -206.041342    0.020466   92.972891   324.562696  23.369125  0.047589    785.854937  4546.537537  1.408881    NaN   NaN    NaN NaN NaN NaN   21.682866    0.023766   0.020043        NaN       NaN        NaN    NaN    NaN    NaN  -13.300575   1.567017   92.895536       1.321520       9.082224          NaN      15.0  69.028744         NaN   3.317660          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  244.592215   7.890071   73.089884   77.668965           no       no
O3_4363A          4363.0    508.247386       8.472875    485.431236         13.670640    17.626989   0.934420       O3                        $[OIII]4363\mathring{A}$                                     none         no  4297.700000  4323.660000  4356.886082  4372.721331  4397.515074  4411.990968          NaN          NaN  4569.829102    159.982834  27.539090  1.236825 -0.008752   67.536057    0.003977   18.103291   136.289365  22.265957  0.047533    137.919840  4570.387251  1.404230    NaN   NaN    NaN NaN NaN NaN    3.098273    0.026805   0.024186        NaN       NaN        NaN    NaN    NaN    NaN   36.616040   1.758472   92.121086       1.586644       2.279635          NaN      17.0  69.046047         NaN   3.306709          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   91.265603   1.601151   31.165765   37.448798           no       no
He1_4471A         4471.0    254.033003       6.344641    253.854909          7.593668     9.416614   0.471122      He1                           $HeI4471\mathring{A}$                                     none         no  4453.018293  4461.535341  4467.376176  4482.245314  4484.690756  4494.724301          NaN          NaN  4683.817383    102.243805  26.958194  1.081116  0.006243   -2.284441    0.015104   70.783176    80.777817  24.935518  0.047597     74.808154  4683.807126  1.353661    NaN   NaN    NaN NaN NaN NaN    1.632730    0.028468   0.026561        NaN       NaN        NaN    NaN    NaN    NaN   -0.656485   1.822142   86.642439       1.700067       4.557702          NaN      15.0  69.062285         NaN   3.187628          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   26.933305   0.841666   -3.169455    1.496589           no       no
Fe3_4658A         4658.0     70.904834       6.635511     56.665718          6.403022     2.149199   0.257743      Fe3                       $[FeIII]4658\mathring{A}$                                     none         no  4632.692788  4641.200484  4645.983826  4667.098020  4669.783838  4678.003073  4860.238892  4885.135765  4879.777832     40.494595  26.365966  1.059189  0.018817  -65.456449    0.013563   66.114629    19.375111  24.892594  0.047514     13.261105  4879.318046  1.709736    NaN   NaN    NaN NaN NaN NaN    1.045507    0.145822   0.143515        NaN       NaN        NaN    NaN    NaN    NaN  -28.247236   8.958659  105.038803       8.816930       1.220183          NaN      20.0  68.973043  896.126953   4.026121  1529.556241 -276.040588  -72.367632 -955.312041 -654.447903 -445.535495  133.514706  233.898685  305.508085   32.565658   0.930447    0.135542    5.048300           no       no
He2_4685A         4685.0     52.497237       5.586722     48.869978          7.470382     1.836516   0.291395      He2                          $HeII4685\mathring{A}$                                     none         no  4663.804252  4678.301808  4679.891469  4696.117447  4721.862665  4736.574218          NaN          NaN  4907.949707     35.910553  26.610150  1.131596 -0.017255  111.296809    0.006937   34.153323    12.200389  23.515587  0.047606      8.839905  4908.034084  2.234031    NaN   NaN    NaN NaN NaN NaN    0.873642    0.242103   0.239385        NaN       NaN        NaN    NaN    NaN    NaN    5.154027  14.788416  136.461365      14.622367       4.557702          NaN      16.0  69.032581         NaN   5.260740          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   45.105248   1.048959    5.096432   10.582356           no       no
